10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
10.12.2021 20:01:42 [Dayz-Dog] Spawned Wild Dog at <12949.698242, 6.433713, 8256.584961>
18.12.2021 05:52:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 06:03:42 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 06:23:24 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 08:01:00 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:18:00 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <11134.162109, 210.010880, 12419.511719>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <11145.644531, 204.596771, 12409.554688>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <11142.134766, 208.605850, 12437.642578>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <11155.224609, 202.150696, 12406.112305>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <3768.218506, 306.615295, 8188.806152>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <3785.638916, 307.139648, 8182.645508>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <3791.065918, 307.121338, 8174.239258>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <3753.935791, 306.214478, 8194.424805>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <3771.228027, 307.131531, 8206.866211>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <5802.563965, 272.285828, 10239.534180>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <5780.721191, 273.842133, 10260.461914>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <5808.422363, 272.472931, 10262.576172>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <5806.002930, 272.309357, 10254.520508>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <5783.527832, 274.273132, 10217.450195>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <10781.873047, 13.594899, 2764.905029>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <10788.790039, 9.818379, 2755.560303>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12697.146484, 6.609807, 9683.355469>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12700.578125, 6.036230, 9700.444336>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12696.442383, 6.032182, 9699.229492>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12684.551758, 6.032182, 9697.672852>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12701.377930, 6.032753, 9696.482422>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <9351.332031, 327.238037, 8765.675781>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <9348.500000, 329.942444, 8744.093750>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <9370.756836, 319.437622, 8786.898438>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <9368.041992, 320.300903, 8785.555664>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <9373.699219, 321.120911, 8744.148438>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12225.584961, 104.509933, 10814.163086>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12238.625000, 103.422974, 10824.428711>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12238.555664, 102.059212, 10790.278320>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12224.469727, 104.869469, 10831.555664>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <12211.293945, 107.166359, 10796.149414>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <13369.919922, 94.779999, 12833.889648>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <13376.880859, 94.494843, 12821.813477>
18.12.2021 16:18:15 [Dayz-Dog] Spawned Wild Dog at <13381.808594, 94.239830, 12823.665039>
18.12.2021 16:23:07 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <8053.770020, 7.605311, 3217.184326>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <8065.546875, 6.569093, 3240.724365>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <8073.666992, 6.489592, 3239.874268>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <3663.358887, 191.853760, 12937.323242>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <3641.448975, 192.863983, 12921.202148>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1736.817261, 142.114502, 3709.969727>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1728.630249, 143.139221, 3727.750488>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1737.071045, 142.367203, 3716.429199>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1721.847534, 142.760681, 3710.093262>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <4687.492188, 283.350281, 6320.551758>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <4677.264648, 284.194916, 6300.535645>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1746.521851, 172.647293, 5078.468750>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1737.986816, 172.692566, 5074.425781>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1727.287964, 172.647293, 5085.114258>
18.12.2021 16:23:22 [Dayz-Dog] Spawned Wild Dog at <1750.651123, 172.678482, 5079.139648>
18.12.2021 16:26:55 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <14841.019531, 72.134323, 14570.527344>
